stats_player_id,player_name,player_name_short,team_name,match_status
5du94r60dohblmdca7fwenaei,SaÃºl Alejandro Guarirapa BriceÃ±o,SaÃºl,Sharjah FC,confirmed
dkv5svrbfiq996qchro44dfpx,Nemanja MaksimoviÄ‡,Nemanja,Shabab Al Ahli Club,confirmed
4kp253yyszmfsldk72hy778b9,Saeed Ahmed,Saeed Ahmad Abdulla Mohammad,Khorfakkan Club,confirmed
chjro0rydx34syh5nmid8fbo5,Bilal Yousef,Bilal Yousif,Ajman Club,confirmed
1u624227l2qrb36w685ceb6z8,Amadou Saidou Niang,Amadu,Al Ain FC,confirmed
f40x0psvdopwvisn99e3yvjyt,Rashed Ali,Rashed Ali Salem Mubarak,Khorfakkan Club,confirmed
du94ygl36i215lbix677jy9zo,Ibrahim Al Hosani,Ibrahim Abdulla Jumaa Mohamed,Al Dhafra FC,confirmed
5fx1ph30cnadu9qjdtpdhz7bp,Zayed Ahmed,Zayed Ahmed Husain Ahmed,Al Wahda FC,confirmed
9lfyv6nmh5etb6ynp9ie5y42c,Drissa Coulibaly,Drissa,Dibba FC,confirmed
eznbe54nfs46cc7hdenhruuqc,Rashed Al Antali,Rashed Mohamed Obaid Al Khaddeim,Dibba FC,confirmed
2lfh3a00yi30wsxqoow3ldfjd,Mayed Muhsin,Mayed Muhsin Musabeh,Sharjah FC,confirmed
derzxn5jki583526zjo7pwx5h,GerÃ³nimo GastÃ³n Poblete,GerÃ³nimo,Sharjah FC,confirmed
3xvlkbrs2l30768m1ik4wv3ai,Facundo Daniel Kruspzky,Facundo,Al Wahda FC,confirmed
dd5j776xve7bhu0migu47gh9m,Sultan Al Zaabi,Sultan Saeed Rashid Saif,Khorfakkan Club,confirmed
3h6vm2xa1qdhlvks5883zft9l,Saeed Jumaa,Saeed Juma Hasan Juma,Al Bataeh Club,confirmed
e25bkcz1uz7ingrqec6gufuhg,Lithierry,Lithierry,Ajman Club,confirmed
20vq7eu8botqbdt5mqaerlroq,Khaled Alsaleh,Khaled,Dibba FC,confirmed
6ctagw9fgkx7zzg9e5n36661g,Abdallah Al Blooshi,Abdallah Sultan Nasser,Dibba FC,confirmed
88fx4c7jso6mi3a3dmi4zk6sq,Siaka Sidibe,Siaka,Al Wasl Club,confirmed
bgql62y4ifkmeetomjwpiixyi,Ahmed Abunamous,Ahmed Shehda Mohamed Hussin,Al Ittihad Kalba,confirmed
w63iptbz4sc4y4n1i90izjs9,Mehdi Abdolhamid Ghayedi,Mehdi,Al Nasr SC,confirmed
52zs5wufhxugea9rhgtk85i0a,Saymon Cabral,Saymon,Dibba FC,confirmed
6twjhm7kkmqy3j2kjad3syqga,Akram Al Nakach,Akram,Khorfakkan Club,confirmed
9rymgzdlt26k7cw0qlh1ysfai,Maro KatiniÄ‡,Maro,Sharjah FC,confirmed
4usfp87pcrwr4ouvy467pl20a,JoÃ£o Victor,JoÃ£o Victor,Bani Yas Club,confirmed
